,código,distrito,ano,concelhos apurados,concelhos por apurar,total de concelhos,freguesias apuradas,freguesias por apurar,total de freguesias,consulados apurados,consulados por apurar,total de consulados,inscritos,votos,% votos,brancos,% brancos,nulos,% nulos,mandatos,mandatos por atribuir,opção 1,votos 1,% votos1,mandatos 1,opção 2,votos 2,% votos2,mandatos 2,opção 3,votos 3,% votos3,mandatos 3,opção 4,votos 4,% votos4,mandatos 4,opção 5,votos 5,% votos5,mandatos 5,opção 6,votos 6,% votos6,mandatos 6,opção 7,votos 7,% votos7,mandatos 7,opção 8,votos 8,% votos8,mandatos 8,opção 9,votos 9,% votos9,mandatos 9,opção 10,votos 10,% votos10,mandatos 10,opção 11,votos 11,% votos11,mandatos 11,opção 12,votos 12,% votos12,mandatos 12,opção 13,votos 13,% votos13,mandatos 13,opção 14,votos 14,% votos14,mandatos 14,opção 15,votos 15,% votos15,mandatos 15,opção 16,votos 16,% votos16,mandatos 16,opção 17,votos 17,% votos17,mandatos 17,opção 18,votos 18,% votos18,mandatos 18,opção 19,votos 19,% votos19,mandatos 19,opção 20,votos 20,% votos20,mandatos 20
3,10000,Aveiro,2024,19.0,0.0,19.0,147.0,0.0,147.0,,,,642086,423771,66.0,7031,1.66,4577,1.08,16.0,0.0,ADN,5753,1.36,0.0,B.E.,17358,4.1,0.0,CH,73110,17.25,3.0,E,362,0.09,0.0,IL,21671,5.11,1.0,,,,,L,9510,2.24,0.0,MPT.A,206.0,0.05,0.0,,,,,ND,1076.0,0.25,0.0,PAN,7300,1.72,0.0,PCP-PEV,5850,1.38,0.0,PCTP/MRPP,1215.0,0.29,0.0,,,,,PPD/PSD.CDS-PP.PPM,148861.0,35.13,7.0,,,,,PS,117348,27.69,5.0,,,,,R.I.R.,1933,0.46,0.0,VP,610.0,0.14,0.0
4,20000,Beja,2024,14.0,0.0,14.0,75.0,0.0,75.0,,,,119102,76994,64.65,1170,1.52,934,1.21,3.0,0.0,ADN,861,1.12,0.0,B.E.,3393,4.41,0.0,CH,16595,21.55,1.0,E,95,0.12,0.0,IL,1708,2.22,0.0,,,,,L,1369,1.78,0.0,,,,,,,,,ND,106.0,0.14,0.0,PAN,943,1.22,0.0,PCP-PEV,11570,15.03,0.0,PCTP/MRPP,624.0,0.81,0.0,,,,,PPD/PSD.CDS-PP.PPM,12890.0,16.74,1.0,,,,,PS,24408,31.7,1.0,,,,,R.I.R.,181,0.24,0.0,VP,147.0,0.19,0.0
5,30000,Braga,2024,14.0,0.0,14.0,347.0,0.0,347.0,,,,780163,556367,71.31,9588,1.72,5277,0.95,19.0,0.0,ADN,9964,1.79,0.0,B.E.,21388,3.84,0.0,CH,93826,16.86,4.0,E,515,0.09,0.0,IL,33930,6.1,1.0,JPP,590.0,0.11,0.0,L,12926,2.32,0.0,MPT.A,673.0,0.12,0.0,NC,534.0,0.1,0.0,ND,2616.0,0.47,0.0,PAN,7935,1.43,0.0,PCP-PEV,10136,1.82,0.0,PCTP/MRPP,1897.0,0.34,0.0,,,,,PPD/PSD.CDS-PP.PPM,184468.0,33.16,8.0,,,,,PS,157099,28.24,6.0,,,,,R.I.R.,2234,0.4,0.0,VP,771.0,0.14,0.0
6,40000,Bragança,2024,12.0,0.0,12.0,226.0,0.0,226.0,,,,134213,72673,54.15,890,1.22,972,1.34,3.0,0.0,ADN,1587,2.18,0.0,B.E.,1404,1.93,0.0,CH,13216,18.19,0.0,E,109,0.15,0.0,IL,1245,1.71,0.0,,,,,L,727,1.0,0.0,MPT.A,52.0,0.07,0.0,,,,,ND,316.0,0.43,0.0,PAN,598,0.82,0.0,PCP-PEV,773,1.06,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,29077.0,40.01,2.0,,,,,PS,21538,29.64,1.0,,,,,R.I.R.,169,0.23,0.0,,,,
7,50000,Castelo Branco,2024,11.0,0.0,11.0,120.0,0.0,120.0,,,,163578,108268,66.19,1529,1.41,1491,1.38,4.0,0.0,ADN,1491,1.38,0.0,B.E.,4451,4.11,0.0,CH,21131,19.52,1.0,E,100,0.09,0.0,IL,2959,2.73,0.0,,,,,L,2171,2.01,0.0,,,,,,,,,ND,315.0,0.29,0.0,PAN,1427,1.32,0.0,PCP-PEV,2372,2.19,0.0,PCTP/MRPP,441.0,0.41,0.0,,,,,PPD/PSD.CDS-PP.PPM,30803.0,28.45,1.0,,,,,PS,37052,34.22,2.0,,,,,R.I.R.,367,0.34,0.0,VP,168.0,0.16,0.0
8,60000,Coimbra,2024,17.0,0.0,17.0,155.0,0.0,155.0,,,,371745,242067,65.12,4795,1.98,2636,1.09,9.0,0.0,ADN,2421,1.0,0.0,B.E.,12334,5.1,0.0,CH,37412,15.46,2.0,E,187,0.08,0.0,IL,9587,3.96,0.0,JPP,185.0,0.08,0.0,L,6880,2.84,0.0,MPT.A,140.0,0.06,0.0,,,,,ND,577.0,0.24,0.0,PAN,3835,1.58,0.0,PCP-PEV,6816,2.82,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,74019.0,30.58,3.0,,,,,PS,79086,32.67,4.0,,,,,R.I.R.,730,0.3,0.0,VP,427.0,0.18,0.0
9,70000,Évora,2024,14.0,0.0,14.0,69.0,0.0,69.0,,,,133400,89387,67.01,1251,1.4,810,0.91,3.0,0.0,ADN,838,0.94,0.0,B.E.,3816,4.27,0.0,CH,17846,19.96,1.0,E,81,0.09,0.0,IL,2227,2.49,0.0,,,,,L,1773,1.98,0.0,MPT.A,41.0,0.05,0.0,,,,,ND,160.0,0.18,0.0,PAN,991,1.11,0.0,PCP-PEV,9771,10.93,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,20049.0,22.43,1.0,,,,,PS,29309,32.79,1.0,,,,,R.I.R.,273,0.31,0.0,VP,151.0,0.17,0.0
10,80000,Faro,2024,16.0,0.0,16.0,67.0,0.0,67.0,,,,382586,236193,61.74,3407,1.44,2779,1.18,9.0,0.0,ADN,4926,2.09,0.0,B.E.,13579,5.75,0.0,CH,64228,27.19,3.0,E,330,0.14,0.0,IL,10761,4.56,0.0,JPP,611.0,0.26,0.0,L,6501,2.75,0.0,,,,,,,,,ND,782.0,0.33,0.0,PAN,6098,2.58,0.0,PCP-PEV,7518,3.18,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,52885.0,22.39,3.0,,,,,PS,60123,25.46,3.0,,,,,R.I.R.,1074,0.45,0.0,VP,591.0,0.25,0.0
11,90000,Guarda,2024,14.0,0.0,14.0,242.0,0.0,242.0,,,,141431,85103,60.17,1163,1.37,1333,1.57,3.0,0.0,ADN,2181,2.56,0.0,B.E.,2301,2.7,0.0,CH,15821,18.59,1.0,E,165,0.19,0.0,IL,1913,2.25,0.0,,,,,L,1151,1.35,0.0,MPT.A,80.0,0.09,0.0,,,,,ND,292.0,0.34,0.0,PAN,821,0.96,0.0,PCP-PEV,1332,1.57,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,29033.0,34.12,1.0,,,,,PS,27133,31.88,1.0,,,,,R.I.R.,289,0.34,0.0,VP,95.0,0.11,0.0
12,100000,Leiria,2024,16.0,0.0,16.0,110.0,0.0,110.0,,,,412184,273515,66.36,5081,1.86,3560,1.3,10.0,0.0,ADN,4560,1.67,0.0,B.E.,11736,4.29,0.0,CH,53764,19.66,2.0,E,340,0.12,0.0,IL,15446,5.65,0.0,,,,,L,7197,2.63,0.0,MPT.A,306.0,0.11,0.0,,,,,ND,741.0,0.27,0.0,PAN,4645,1.7,0.0,PCP-PEV,6600,2.41,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,96311.0,35.21,5.0,,,,,PS,61535,22.5,3.0,,,,,R.I.R.,1141,0.42,0.0,VP,552.0,0.2,0.0
13,110000,Lisboa,2024,16.0,0.0,16.0,134.0,0.0,134.0,,,,1915172,1319139,68.88,15711,1.19,13820,1.05,48.0,0.0,ADN,19074,1.45,0.0,B.E.,65438,4.96,2.0,CH,224526,17.02,9.0,E,1000,0.08,0.0,IL,86847,6.58,3.0,JPP,848.0,0.06,0.0,L,72102,5.47,2.0,MPT.A,1174.0,0.09,0.0,,,,,ND,2365.0,0.18,0.0,PAN,32829,2.49,1.0,PCP-PEV,49257,3.73,2.0,PCTP/MRPP,4464.0,0.34,0.0,,,,,PPD/PSD.CDS-PP.PPM,356698.0,27.04,14.0,,,,,PS,365838,27.73,15.0,PTP,1331.0,0.1,0.0,R.I.R.,2854,0.22,0.0,VP,2963.0,0.22,0.0
14,120000,Portalegre,2024,15.0,0.0,15.0,69.0,0.0,69.0,,,,93106,60662,65.15,920,1.52,645,1.06,2.0,0.0,ADN,631,1.04,0.0,B.E.,1894,3.12,0.0,CH,14915,24.59,1.0,E,54,0.09,0.0,IL,1146,1.89,0.0,,,,,L,873,1.44,0.0,MPT.A,31.0,0.05,0.0,,,,,ND,121.0,0.2,0.0,PAN,506,0.83,0.0,PCP-PEV,3604,5.94,0.0,PCTP/MRPP,303.0,0.5,0.0,,,,,PPD/PSD.CDS-PP.PPM,14132.0,23.3,0.0,,,,,PS,20658,34.05,1.0,,,,,R.I.R.,176,0.29,0.0,VP,53.0,0.09,0.0
15,130000,Porto,2024,18.0,0.0,18.0,243.0,0.0,243.0,,,,1591759,1114868,70.04,14404,1.29,11035,0.99,40.0,0.0,ADN,19585,1.76,0.0,B.E.,51909,4.66,2.0,CH,170910,15.33,7.0,E,740,0.07,0.0,IL,64050,5.75,2.0,JPP,1150.0,0.1,0.0,L,37319,3.35,1.0,,,,,NC,788.0,0.07,0.0,ND,1786.0,0.16,0.0,PAN,23415,2.1,0.0,PCP-PEV,26343,2.36,1.0,PCTP/MRPP,3444.0,0.31,0.0,,,,,PPD/PSD.CDS-PP.PPM,339096.0,30.42,14.0,,,,,PS,338084,30.33,13.0,,,,,R.I.R.,9163,0.82,0.0,VP,1647.0,0.15,0.0
16,140000,Santarém,2024,21.0,0.0,21.0,141.0,0.0,141.0,,,,377261,251064,66.55,3868,1.54,2939,1.17,9.0,0.0,ADN,3505,1.4,0.0,B.E.,11204,4.46,0.0,CH,58554,23.32,3.0,E,363,0.14,0.0,IL,9492,3.78,0.0,,,,,L,6186,2.46,0.0,MPT.A,295.0,0.12,0.0,,,,,ND,463.0,0.18,0.0,PAN,3926,1.56,0.0,PCP-PEV,10343,4.12,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,68493.0,27.28,3.0,,,,,PS,69915,27.85,3.0,,,,,R.I.R.,951,0.38,0.0,VP,567.0,0.23,0.0
17,150000,Setúbal,2024,13.0,0.0,13.0,55.0,0.0,55.0,,,,751292,502587,66.9,6256,1.24,5074,1.01,19.0,0.0,ADN,7661,1.52,0.0,B.E.,30161,6.0,1.0,CH,102077,20.31,4.0,E,558,0.11,0.0,IL,26941,5.36,1.0,JPP,430.0,0.09,0.0,L,21552,4.29,1.0,MPT.A,438.0,0.09,0.0,,,,,ND,1235.0,0.25,0.0,PAN,12856,2.56,0.0,PCP-PEV,38841,7.73,1.0,PCTP/MRPP,2363.0,0.47,0.0,,,,,PPD/PSD.CDS-PP.PPM,86297.0,17.17,4.0,,,,,PS,157166,31.27,7.0,PTP,393.0,0.08,0.0,R.I.R.,1323,0.26,0.0,VP,965.0,0.19,0.0
18,160000,Viana do Castelo,2024,10.0,0.0,10.0,208.0,0.0,208.0,,,,233491,142913,61.21,2682,1.88,1539,1.08,5.0,0.0,ADN,2263,1.58,0.0,B.E.,4926,3.45,0.0,CH,26635,18.64,1.0,E,147,0.1,0.0,IL,5106,3.57,0.0,,,,,L,2813,1.97,0.0,MPT.A,204.0,0.14,0.0,,,,,ND,706.0,0.49,0.0,PAN,2057,1.44,0.0,PCP-PEV,3106,2.17,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,49613.0,34.72,2.0,,,,,PS,40237,28.15,2.0,,,,,R.I.R.,624,0.44,0.0,VP,255.0,0.18,0.0
19,170000,Vila Real,2024,14.0,0.0,14.0,197.0,0.0,197.0,,,,208667,117056,56.1,1494,1.28,1546,1.32,5.0,0.0,ADN,2958,2.53,0.0,B.E.,2865,2.45,0.0,CH,20032,17.11,1.0,E,117,0.1,0.0,IL,2378,2.03,0.0,,,,,L,1592,1.36,0.0,,,,,,,,,ND,278.0,0.24,0.0,PAN,1062,0.91,0.0,PCP-PEV,1599,1.37,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,46040.0,39.33,2.0,,,,,PS,34654,29.6,2.0,,,,,R.I.R.,319,0.27,0.0,VP,122.0,0.1,0.0
20,180000,Viseu,2024,24.0,0.0,24.0,277.0,0.0,277.0,,,,335659,211586,63.04,3302,1.56,2627,1.24,8.0,0.0,ADN,6615,3.13,0.0,B.E.,5846,2.76,0.0,CH,41159,19.45,2.0,E,164,0.08,0.0,IL,5948,2.81,0.0,,,,,L,3566,1.69,0.0,MPT.A,179.0,0.08,0.0,,,,,ND,544.0,0.26,0.0,PAN,2554,1.21,0.0,PCP-PEV,2905,1.37,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,76927.0,36.36,3.0,,,,,PS,58077,27.45,3.0,,,,,R.I.R.,831,0.39,0.0,VP,342.0,0.16,0.0
21,300000,Madeira,2024,11.0,0.0,11.0,54.0,0.0,54.0,,,,254502,149783,58.85,794,0.53,2685,1.79,6.0,0.0,ADN,2348,1.57,0.0,B.E.,4404,2.94,0.0,CH,26296,17.56,1.0,E,239,0.16,0.0,IL,5827,3.89,0.0,JPP,14344.0,9.58,0.0,L,1864,1.24,0.0,MPT.A,228.0,0.15,0.0,NC,305.0,0.2,0.0,,,,,PAN,3127,2.09,0.0,PCP-PEV,2429,1.62,0.0,,,,,PPD/PSD.CDS-PP,52992.0,35.38,3.0,,,,,PPM,451.0,0.3,0.0,PS,29723,19.84,2.0,PTP,719.0,0.48,0.0,R.I.R.,725,0.48,0.0,VP,283.0,0.19,0.0
22,400000,Açores,2024,19.0,0.0,19.0,156.0,0.0,156.0,,,,230082,106273,46.19,2621,2.47,1070,1.01,5.0,0.0,ADN,829,0.78,0.0,B.E.,3622,3.41,0.0,CH,16744,15.76,1.0,E,64,0.06,0.0,IL,2882,2.71,0.0,JPP,213.0,0.2,0.0,L,1816,1.71,0.0,,,,,,,,,,,,,PAN,1654,1.56,0.0,PCP-PEV,1160,1.09,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,42343.0,39.84,2.0,,,,,PS,31015,29.18,2.0,,,,,R.I.R.,125,0.12,0.0,VP,115.0,0.11,0.0
3423,800000,Europa,2024,,,,,,,16.0,0.0,16.0,937311,234654,25.03,1379,0.59,90319,38.49,2.0,0.0,ADN,953,0.41,0.0,B.E.,6438,2.74,0.0,CH,42972,18.31,1.0,E,182,0.08,0.0,IL,5719,2.44,0.0,JPP,560.0,0.24,0.0,L,4091,1.74,0.0,MPT.A,120.0,0.05,0.0,NC,509.0,0.22,0.0,ND,502.0,0.21,0.0,PAN,5174,2.2,0.0,PCP-PEV,2363,1.01,0.0,PCTP/MRPP,748.0,0.32,0.0,,,,,PPD/PSD.CDS-PP.PPM,33350.0,14.21,0.0,,,,,PS,38061,16.22,1.0,,,,,R.I.R.,453,0.19,0.0,VP,761.0,0.32,0.0
3424,900000,Fora da Europa,2024,,,,,,,8.0,0.0,8.0,609436,98866,16.22,487,0.49,32008,32.38,2.0,0.0,ADN,1128,1.14,0.0,B.E.,1847,1.87,0.0,CH,18067,18.27,1.0,E,122,0.12,0.0,IL,1902,1.92,0.0,JPP,202.0,0.2,0.0,L,697,0.7,0.0,MPT.A,100.0,0.1,0.0,NC,260.0,0.26,0.0,ND,1461.0,1.48,0.0,PAN,2332,2.36,0.0,PCP-PEV,748,0.76,0.0,,,,,,,,,PPD/PSD.CDS-PP.PPM,22636.0,22.9,1.0,,,,,PS,14410,14.58,0.0,,,,,R.I.R.,186,0.19,0.0,VP,273.0,0.28,0.0
